"series","dosage","dead"
"I",49.06,0
"I",49.06,0
"I",49.06,0
"I",49.06,0
"I",49.06,0
"I",49.06,0
"I",49.06,0
"I",49.06,0
"I",49.06,0
"I",49.06,0
"I",49.06,0
"I",49.06,0
"I",49.06,0
"I",49.06,0
"I",49.06,0
"I",49.06,0
"I",49.06,0
"I",49.06,0
"I",49.06,0
"I",49.06,0
"I",49.06,0
"I",49.06,0
"I",49.06,0
"I",49.06,0
"I",49.06,0
"I",49.06,0
"I",49.06,0
"I",49.06,1
"I",49.06,1
"I",52.99,0
"I",52.99,0
"I",52.99,0
"I",52.99,0
"I",52.99,0
"I",52.99,0
"I",52.99,0
"I",52.99,0
"I",52.99,0
"I",52.99,0
"I",52.99,0
"I",52.99,0
"I",52.99,0
"I",52.99,0
"I",52.99,0
"I",52.99,0
"I",52.99,0
"I",52.99,0
"I",52.99,0
"I",52.99,0
"I",52.99,0
"I",52.99,0
"I",52.99,0
"I",52.99,1
"I",52.99,1
"I",52.99,1
"I",52.99,1
"I",52.99,1
"I",52.99,1
"I",52.99,1
"I",56.91,0
"I",56.91,0
"I",56.91,0
"I",56.91,0
"I",56.91,0
"I",56.91,0
"I",56.91,0
"I",56.91,0
"I",56.91,0
"I",56.91,0
"I",56.91,0
"I",56.91,0
"I",56.91,0
"I",56.91,0
"I",56.91,0
"I",56.91,0
"I",56.91,0
"I",56.91,0
"I",56.91,0
"I",56.91,1
"I",56.91,1
"I",56.91,1
"I",56.91,1
"I",56.91,1
"I",56.91,1
"I",56.91,1
"I",56.91,1
"I",56.91,1
"I",60.84,0
"I",60.84,0
"I",60.84,0
"I",60.84,0
"I",60.84,0
"I",60.84,0
"I",60.84,0
"I",60.84,0
"I",60.84,0
"I",60.84,0
"I",60.84,0
"I",60.84,0
"I",60.84,0
"I",60.84,1
"I",60.84,1
"I",60.84,1
"I",60.84,1
"I",60.84,1
"I",60.84,1
"I",60.84,1
"I",60.84,1
"I",60.84,1
"I",60.84,1
"I",60.84,1
"I",60.84,1
"I",60.84,1
"I",60.84,1
"I",64.76,0
"I",64.76,0
"I",64.76,0
"I",64.76,0
"I",64.76,0
"I",64.76,0
"I",64.76,0
"I",64.76,1
"I",64.76,1
"I",64.76,1
"I",64.76,1
"I",64.76,1
"I",64.76,1
"I",64.76,1
"I",64.76,1
"I",64.76,1
"I",64.76,1
"I",64.76,1
"I",64.76,1
"I",64.76,1
"I",64.76,1
"I",64.76,1
"I",64.76,1
"I",64.76,1
"I",64.76,1
"I",64.76,1
"I",64.76,1
"I",64.76,1
"I",64.76,1
"I",64.76,1
"I",68.69,0
"I",68.69,0
"I",68.69,1
"I",68.69,1
"I",68.69,1
"I",68.69,1
"I",68.69,1
"I",68.69,1
"I",68.69,1
"I",68.69,1
"I",68.69,1
"I",68.69,1
"I",68.69,1
"I",68.69,1
"I",68.69,1
"I",68.69,1
"I",68.69,1
"I",68.69,1
"I",68.69,1
"I",68.69,1
"I",68.69,1
"I",68.69,1
"I",68.69,1
"I",68.69,1
"I",68.69,1
"I",68.69,1
"I",68.69,1
"I",68.69,1
"I",68.69,1
"I",68.69,1
"I",68.69,1
"I",72.61,0
"I",72.61,1
"I",72.61,1
"I",72.61,1
"I",72.61,1
"I",72.61,1
"I",72.61,1
"I",72.61,1
"I",72.61,1
"I",72.61,1
"I",72.61,1
"I",72.61,1
"I",72.61,1
"I",72.61,1
"I",72.61,1
"I",72.61,1
"I",72.61,1
"I",72.61,1
"I",72.61,1
"I",72.61,1
"I",72.61,1
"I",72.61,1
"I",72.61,1
"I",72.61,1
"I",72.61,1
"I",72.61,1
"I",72.61,1
"I",72.61,1
"I",72.61,1
"I",72.61,1
"I",76.54,1
"I",76.54,1
"I",76.54,1
"I",76.54,1
"I",76.54,1
"I",76.54,1
"I",76.54,1
"I",76.54,1
"I",76.54,1
"I",76.54,1
"I",76.54,1
"I",76.54,1
"I",76.54,1
"I",76.54,1
"I",76.54,1
"I",76.54,1
"I",76.54,1
"I",76.54,1
"I",76.54,1
"I",76.54,1
"I",76.54,1
"I",76.54,1
"I",76.54,1
"I",76.54,1
"I",76.54,1
"I",76.54,1
"I",76.54,1
"I",76.54,1
"I",76.54,1
"II",49.06,0
"II",49.06,0
"II",49.06,0
"II",49.06,0
"II",49.06,0
"II",49.06,0
"II",49.06,0
"II",49.06,0
"II",49.06,0
"II",49.06,0
"II",49.06,0
"II",49.06,0
"II",49.06,0
"II",49.06,0
"II",49.06,0
"II",49.06,0
"II",49.06,0
"II",49.06,0
"II",49.06,0
"II",49.06,0
"II",49.06,0
"II",49.06,0
"II",49.06,0
"II",49.06,0
"II",49.06,0
"II",49.06,0
"II",49.06,1
"II",49.06,1
"II",49.06,1
"II",49.06,1
"II",52.99,0
"II",52.99,0
"II",52.99,0
"II",52.99,0
"II",52.99,0
"II",52.99,0
"II",52.99,0
"II",52.99,0
"II",52.99,0
"II",52.99,0
"II",52.99,0
"II",52.99,0
"II",52.99,0
"II",52.99,0
"II",52.99,0
"II",52.99,0
"II",52.99,0
"II",52.99,0
"II",52.99,0
"II",52.99,0
"II",52.99,0
"II",52.99,0
"II",52.99,0
"II",52.99,0
"II",52.99,1
"II",52.99,1
"II",52.99,1
"II",52.99,1
"II",52.99,1
"II",52.99,1
"II",56.91,0
"II",56.91,0
"II",56.91,0
"II",56.91,0
"II",56.91,0
"II",56.91,0
"II",56.91,0
"II",56.91,0
"II",56.91,0
"II",56.91,0
"II",56.91,0
"II",56.91,0
"II",56.91,0
"II",56.91,0
"II",56.91,0
"II",56.91,0
"II",56.91,0
"II",56.91,0
"II",56.91,0
"II",56.91,0
"II",56.91,0
"II",56.91,0
"II",56.91,0
"II",56.91,0
"II",56.91,0
"II",56.91,1
"II",56.91,1
"II",56.91,1
"II",56.91,1
"II",56.91,1
"II",56.91,1
"II",56.91,1
"II",56.91,1
"II",56.91,1
"II",60.84,0
"II",60.84,0
"II",60.84,0
"II",60.84,0
"II",60.84,0
"II",60.84,0
"II",60.84,0
"II",60.84,0
"II",60.84,0
"II",60.84,0
"II",60.84,0
"II",60.84,0
"II",60.84,0
"II",60.84,0
"II",60.84,0
"II",60.84,1
"II",60.84,1
"II",60.84,1
"II",60.84,1
"II",60.84,1
"II",60.84,1
"II",60.84,1
"II",60.84,1
"II",60.84,1
"II",60.84,1
"II",60.84,1
"II",60.84,1
"II",60.84,1
"II",60.84,1
"II",64.76,0
"II",64.76,0
"II",64.76,0
"II",64.76,0
"II",64.76,1
"II",64.76,1
"II",64.76,1
"II",64.76,1
"II",64.76,1
"II",64.76,1
"II",64.76,1
"II",64.76,1
"II",64.76,1
"II",64.76,1
"II",64.76,1
"II",64.76,1
"II",64.76,1
"II",64.76,1
"II",64.76,1
"II",64.76,1
"II",64.76,1
"II",64.76,1
"II",64.76,1
"II",64.76,1
"II",64.76,1
"II",64.76,1
"II",64.76,1
"II",64.76,1
"II",64.76,1
"II",64.76,1
"II",64.76,1
"II",64.76,1
"II",64.76,1
"II",68.69,0
"II",68.69,0
"II",68.69,0
"II",68.69,0
"II",68.69,1
"II",68.69,1
"II",68.69,1
"II",68.69,1
"II",68.69,1
"II",68.69,1
"II",68.69,1
"II",68.69,1
"II",68.69,1
"II",68.69,1
"II",68.69,1
"II",68.69,1
"II",68.69,1
"II",68.69,1
"II",68.69,1
"II",68.69,1
"II",68.69,1
"II",68.69,1
"II",68.69,1
"II",68.69,1
"II",68.69,1
"II",68.69,1
"II",68.69,1
"II",68.69,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",72.61,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
"II",76.54,1
